tanglish,tamil
sarri apprram parkazham,சரி அப்புறம் பார்க்கலாம்.
veetzha yellarrum yeepti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
kasu illaa,காசு இல்ல.
projeest reaady paanrraa,புராஜெக்ட் ரெடி பண்றா.
raailwaay sdadeeon yeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
coomment paanungaa makkazhee,கமெண்ட் பண்ணுங்க மக்களே.
uyeerr nalla waazhum,உயிர் நல்லா வாழும்.
uyirr nalla valoom,உயிர் நல்லா வாழும்.
bus sdaand yengaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
ooruku porriyaa,ஊருக்கு போறியா?
vethla yeelarum epdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
uyeerr naallaa vazhoom,உயிர் நல்லா வாழும்.
yaanpe vazhee,அன்பே வழி.
raeezhway staation ebbo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
commend banunga makkalee,கமெண்ட் பண்ணுங்க மக்களே.
pus staand yeenga irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
projeest reeaty paanrraa,புராஜெக்ட் ரெடி பண்றா.
vedhla yellarroom yepdee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
drendeeng witeoo adhu,டிரெண்டிங் வீடியோ அது.
vedhla yeelarum ebdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
projeecd reaty panrra,புராஜெக்ட் ரெடி பண்றா.
waazhkaaiyizh wetrree beroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
aammaa saaaapaatu readyaa,அம்மா சாப்பாடு ரெடியா?
weetlaa yelaarum epdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
saarri yapprram paaaarrkaalaam,சரி அப்புறம் பார்க்கலாம்.
vaazhkaaiyizh weedhri beeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
railway sdadioon epoo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus stant yenkaa irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
inniku weezhai eeruku,இன்னைக்கு வேலை இருக்கு.
ooyir nala wazhum,உயிர் நல்லா வாழும்.
wethu wezhaai mutinjaatu,வீட்டு வேலை முடிஞ்சது.
yooffice poeethu vareen,அலுவலகம் போயிட்டு வர்றேன்.
veethlaa yellaroom yeepti irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
slaass eppo arampam,வகுப்பு எப்போ ஆரம்பம்?
veethlaa yeelarum eebdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway sdhaadhion yepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
ena panrringa,என்ன பண்றீங்க?
coolege yepoo mootiyoom,கல்லூரி எப்போ முடியும்?
raizhway sdadioon yeepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sdhadhoos barthiya,ஸ்டேட்டஸ் பார்த்தியா?
rraeelway sdhaadhion yeepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
poos staant yengaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weedhookoo wa,வீட்டுக்கு வா.
raeezhway sdhadhioon yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nethhoo engaa pona,நேத்து எங்க போன?
commeend panoonga makkalee,கமெண்ட் பண்ணுங்க மக்களே.
seema phodo brroo,செம படம் ப்ரோ.
exam seema toouk,தேர்வு செம கடினம்.
gaarunaai kaaaatunkaal,கருணை காட்டுங்கள்.
yooffise poeethu vaaren,அலுவலகம் போயிட்டு வர்றேன்.
oonagoo pooriyoodha,உனக்கு புரியுதா?
raeelway stateeon yepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
abba yeeppo varanga,அப்பா எப்போ வர்றாங்க?
raaizhwaay sdadeeon yepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
atteentancee wandhucha,வருகைப்பதிவு வந்துச்சா?
veedu veelai mudinjaadhu,வீட்டு வேலை முடிஞ்சது.
yeepdi irooka,எப்படி இருக்க?
pus sdhand enka irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vethla yellarrum eebdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
sandhhoosham perrumai,சந்தோஷம் பெருமை.
claass yeebbo aarampam,வகுப்பு எப்போ ஆரம்பம்?
yexaam seema dooogh,தேர்வு செம கடினம்.
vipe nala irruku,வைப் நல்லா இருக்கு.
coolege yebbo mudeeyum,கல்லூரி எப்போ முடியும்?
vedhla ellarrum yepdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
eenneegu velaee eerugu,இன்னைக்கு வேலை இருக்கு.
wazhkaiyizh vethri perroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
veetzha ellarrum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
goovam badadhe,கோபம் படாதே.
vaazhkaaiyizh weethri peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
veethla yellarrum yeptee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay sdhadhion yeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa yellarrum epti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
aapaa eepo varraanga,அப்பா எப்போ வர்றாங்க?
naampikaai dhan yellaam,நம்பிக்கை தான் எல்லாம்.
poos sthand enkaa eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veethlaa ezhzharoom yeptee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
boos sdhaand engaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
nanba yepdi eeruka,நண்பா எப்படி இருக்க?
raailwaay sdadeeon eeppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weettugu yepoo vaaraa,வீட்டுக்கு எப்போ வர?
witla ezhzharoom eebdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeelway sdadeeon epoo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
saree aappraam paarkazham,சரி அப்புறம் பார்க்கலாம்.
veetzha ellarrum yepdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethla yellaarrum yeptee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
projecth reeaty panrra,புராஜெக்ட் ரெடி பண்றா.
coleegee eppoo mudeeyum,கல்லூரி எப்போ முடியும்?
veeeetzha ezhzharoom yeepti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
solren naallaa keduko,சொல்றேன் நல்லா கேட்டுக்கோ.
witla yeelarum yepdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
aama yaadhu dhaaaan,ஆமா அது தான்.
raeezhway sdadioon yeepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
saree apram paarrkalam,சரி அப்புறம் பார்க்கலாம்.
gaarunaai kaatungazh,கருணை காட்டுங்கள்.
commendh baanungaa maakkaazhe,கமெண்ட் பண்ணுங்க மக்களே.
raizhway stateeon eppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raaizhwaay sdhaadhion eeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeelway sdadion yeepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veeeetzha ellarrum epti irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
abba yepoo varanga,அப்பா எப்போ வர்றாங்க?
slaass eppo aarambam,வகுப்பு எப்போ ஆரம்பம்?
railway sdhadhion ebbo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
semaa phoothoo bro,செம படம் ப்ரோ.
veeeetzha yellaarrum yeepti irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yamma sabadu rreeadyaa,அம்மா சாப்பாடு ரெடியா?
raeelway stateeon eppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vipe naallaa irruku,வைப் நல்லா இருக்கு.
wittugu yepoo waaraa,வீட்டுக்கு எப்போ வர?
raizhway sdadioon eeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
eenna paanrraa,என்ன பண்ற?
thhangachi yengaa ponaa,தங்கச்சி எங்க போன?
wittugu epo varra,வீட்டுக்கு எப்போ வர?
walkaeeyeel weedhri peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
iniku seema vipee,இன்னைக்கு செம வைப்.
exaam sema dough,தேர்வு செம கடினம்.
raeezhway sdhadhioon epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
railway sdhaadhion yeepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
inniku welai iroogoo,இன்னைக்கு வேலை இருக்கு.
pus stant yeenga iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
caapdion nazhzha irrookoo,கேப்ஷன் நல்லா இருக்கு.
vipee nalla irruku,வைப் நல்லா இருக்கு.
threndeeng viteeo yaatu,டிரெண்டிங் வீடியோ அது.
yaanaave koooopitu,அண்ணாவை கூப்பிடு.
eenneegu nazhzha naal,இன்னைக்கு நல்ல நாள்.
rraeelway sdhadhion yepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
poos staant yeenga iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
commeendh banoonga maggale,கமெண்ட் பண்ணுங்க மக்களே.
witla yellarrum ebdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
weepe baandrom,வைப் பண்றோம்.
vedhla ellarrum epti irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethlaa yellaroom eebdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yaama atu dhaaaan,ஆமா அது தான்.
boos sdaand yeenga irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vipee naazhzhaa eerruku,வைப் நல்லா இருக்கு.
solleegee eppo mudeeyum,கல்லூரி எப்போ முடியும்?
wittoogoo epo warra,வீட்டுக்கு எப்போ வர?
rraeelway sdadioon eepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
bus sthand enkaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vethla yellaroom epti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
roomba kavalaeeya irugu,ரொம்ப கவலையா இருக்கு.
vaazhkaaiyizh wethri beroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
veetzha yeelarum yeptee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeelway sdhaadhion yeepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
freeendu caall baanraan,பிரெண்டு கால் பண்றான்.
wara,வர
boos sthand enka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vidhdhuku yepoo varra,வீட்டுக்கு எப்போ வர?
rraeelway sdhadhioon yeepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veetzha yellarroom yepdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vedhla yellaroom epti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
projeecd reaty paanrraa,புராஜெக்ட் ரெடி பண்றா.
railway sdhadhioon ebbo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weettugu epo waaraa,வீட்டுக்கு எப்போ வர?
nethoo eenka ponaa,நேத்து எங்க போன?
raailwaay sdhadhion ebbo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yenagu purriyala,எனக்கு புரியல.
roompa kaavaazhaaiyaa irugu,ரொம்ப கவலையா இருக்கு.
bus sdhand yengaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weebe naallaa eerugu,வைப் நல்லா இருக்கு.
wipe naazhzhaa irugu,வைப் நல்லா இருக்கு.
nambeekaee tan yellaam,நம்பிக்கை தான் எல்லாம்.
cozhzheegee yeeppo moodiyoom,கல்லூரி எப்போ முடியும்?
yaammaa saapatu rreadya,அம்மா சாப்பாடு ரெடியா?
bus stant yeenka irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weetlaa yelaarum yepdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
witla yellarroom epti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
class yeepo yaaaarraambaam,வகுப்பு எப்போ ஆரம்பம்?
innigoo veelai eeruku,இன்னைக்கு வேலை இருக்கு.
witla yellaarrum epti irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
nambeekaee taaaan yeellam,நம்பிக்கை தான் எல்லாம்.
anbee vaazhi,அன்பே வழி.
veeeetzha yellarrum eebdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethla yelaarum epdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yeexam seema dooogh,தேர்வு செம கடினம்.
frriendu saall panran,பிரெண்டு கால் பண்றான்.
raizhway sdhadhion yepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus staand engaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
thalaivarree gedhoo,தலைவரே கெத்து.
comment panunga makkalee,கமெண்ட் பண்ணுங்க மக்களே.
weetlaa yellaroom yepdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
amma saapatu reaatyaaaa,அம்மா சாப்பாடு ரெடியா?
yaammaa sabadu reeadyaa,அம்மா சாப்பாடு ரெடியா?
raaizhwaay sdadeeon ebbo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
inniku welai irrookoo,இன்னைக்கு வேலை இருக்கு.
poos sdaand enkaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vedhla yellaroom yeepti irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
office poidu vaarrrren,அலுவலகம் போயிட்டு வர்றேன்.
yaaaamaa aadhu tan,ஆமா அது தான்.
frientu caal paanrraan,பிரெண்டு கால் பண்றான்.
eenneegu semaa vibe,இன்னைக்கு செம வைப்.
raeelway sdhadhioon yeepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeelway sdhaadhion yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vedhla yellaarrum ebdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yaaaamaa adhoo dhaan,ஆமா அது தான்.
yassignment eezhudhithiya,அசைன்மென்ட் எழுதிட்டியா?
nethhoo yengaa poona,நேத்து எங்க போன?
eenneeku vezhaai irrookoo,இன்னைக்கு வேலை இருக்கு.
weetlaa yellaarrum yeepti irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha yellarrum eebdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
eenneegu welai eeruku,இன்னைக்கு வேலை இருக்கு.
yepti eeruga,எப்படி இருக்க?
naampikaai taan ellaam,நம்பிக்கை தான் எல்லாம்.
boos sthaand yengaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
marks vandhooroosoo,மதிப்பெண்கள் வந்துருச்சு.
wazhkaiyizh wethri peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
projeect rready baanraa,புராஜெக்ட் ரெடி பண்றா.
iniku welai irrookoo,இன்னைக்கு வேலை இருக்கு.
coommenth panoonga maaggaale,கமெண்ட் பண்ணுங்க மக்களே.
railway sdadion yepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
status paaaarthhiyaa,ஸ்டேட்டஸ் பார்த்தியா?
raailwaay sdadeeon yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veeeetzha yellarrum ebdee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
railway sdhadhion yeepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
railway sdadion yeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay staation yeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
witla yellaarrum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay stateeon ebbo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nethu yenga boona,நேத்து எங்க போன?
yooffise poidoo vaaren,அலுவலகம் போயிட்டு வர்றேன்.
bus staant yengaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
railway sdadioon yeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yeenna yaachu,என்ன ஆச்சு?
enga poora,எங்க போற?
claass eppoo yarampam,வகுப்பு எப்போ ஆரம்பம்?
poos sdhand yenka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veethlaa yellaarrum epdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
projeect reaaty baanraa,புராஜெக்ட் ரெடி பண்றா.
widu veezhai moodinjadhoo,வீட்டு வேலை முடிஞ்சது.
thampee patikiriya,தம்பி படிக்கிறியா?
wedu wezhaai mootinjatoo,வீட்டு வேலை முடிஞ்சது.
widduku epo vara,வீட்டுக்கு எப்போ வர?
boos sdhaand enka eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
coolege yebbo mudiyum,கல்லூரி எப்போ முடியும்?
raailwaay sdadioon eeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
innigu veelai iroogoo,இன்னைக்கு வேலை இருக்கு.
weettugu yeebo warra,வீட்டுக்கு எப்போ வர?
bus staant yenkaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veethlaa yelaarum eebdi irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raizhway sdhadhioon eepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sdhaadhus paaaarthhiyaa,ஸ்டேட்டஸ் பார்த்தியா?
vedhla ellarrum ebdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vedhla yellarrum yeptee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
baalli kootam boonoom,பள்ளி கூடம் போனோம்.
caapdion nalla eerugu,கேப்ஷன் நல்லா இருக்கு.
paali kootam ponom,பள்ளி கூடம் போனோம்.
rraailwaay sdhadhion eeppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raaizhwaay sdhadhion eeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
poos sdhaand enkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
class eppoo arambam,வகுப்பு எப்போ ஆரம்பம்?
iruka,இருக்க
rraailwaay sdhadhion yeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raaizhwaay sdhadhion yepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraailwaay sdadeeon eepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vedhla yellaroom yeptee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay sdhadhioon epoo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
romba kaavaazhaaiyaa eeruku,ரொம்ப கவலையா இருக்கு.
naambigaai taaaan elaam,நம்பிக்கை தான் எல்லாம்.
raailwaay sdhaadhion yeepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yaammaa sabadu reeatyaa,அம்மா சாப்பாடு ரெடியா?
dhrogam seeyyadhee,துரோகம் செய்யாதே.
nanba ebdi eeruka,நண்பா எப்படி இருக்க?
dhangachee yenka ponaa,தங்கச்சி எங்க போன?
threending witeoo adhu,டிரெண்டிங் வீடியோ அது.
solrren nala kedooko,சொல்றேன் நல்லா கேட்டுக்கோ.
romba gavalaeeya irrookoo,ரொம்ப கவலையா இருக்கு.
veetzha yellarroom yeepti irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
witla ellarrum yeptee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
frriendoo cal panrran,பிரெண்டு கால் பண்றான்.
commend banoonga makkalee,கமெண்ட் பண்ணுங்க மக்களே.
rraeelway sdadioon yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vaazhkaaiyizh wetrree beeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
rraeelway sdhadhion yeepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
innigoo nalla naazh,இன்னைக்கு நல்ல நாள்.
witla yellarrum eebdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethla yellaroom epti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veeeetzha yellaroom epdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
ooyarram totoo,உயரம் தொடு.
dhhangachee engaa bonaa,தங்கச்சி எங்க போன?
offeese poidhu vaaren,அலுவலகம் போயிட்டு வர்றேன்.
weetlaa yellaroom yeptee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
frientu caall paanrraan,பிரெண்டு கால் பண்றான்.
rompaa kavalaiya irrookoo,ரொம்ப கவலையா இருக்கு.
aappaa yepoo waarraaaangaa,அப்பா எப்போ வர்றாங்க?
witla yellaarrum ebdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raaizhwaay sdadioon eppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rromba kavazhaiya irugu,ரொம்ப கவலையா இருக்கு.
veeeetzha ellarrum yepdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
commendh panoonga maakaale,கமெண்ட் பண்ணுங்க மக்களே.
dhhangachee engaa pona,தங்கச்சி எங்க போன?
solrreen nala kethukoo,சொல்றேன் நல்லா கேட்டுக்கோ.
yaammaa saapatu rreeadyaa,அம்மா சாப்பாடு ரெடியா?
poos stant yeenka irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
eenneegu naazhzhaa naaaal,இன்னைக்கு நல்ல நாள்.
witla yellarrum yeepti irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raaizhwaay sdhadhion ebbo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
oorrookoo boreeya,ஊருக்கு போறியா?
yeenna yachu,என்ன ஆச்சு?
veethla ellarrum yeepti eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway sdhaadhion eeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
walkaeeyeel wethri beeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
raailwaay stateeon ebbo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
railway staation yepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
enaa asu,என்ன ஆச்சு?
railway stateeon yeppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraeelway sdhaadhion epoo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raaizhwaay sdadion epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veeeetzha yeelarum yeepti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
apa yeppo varranka,அப்பா எப்போ வர்றாங்க?
wittugu yebo warra,வீட்டுக்கு எப்போ வர?
naaaan nala iroogen,நான் நல்லா இருக்கேன்
raeezhway sdadion yeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
projeect reaty banra,புராஜெக்ட் ரெடி பண்றா.
frreeendu caall paanrraan,பிரெண்டு கால் பண்றான்.
amma saapatu rreadya,அம்மா சாப்பாடு ரெடியா?
inikoo vezhaai irrookoo,இன்னைக்கு வேலை இருக்கு.
raeelway sdhadhion eeppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
widduku yepoo vara,வீட்டுக்கு எப்போ வர?
weeeedu veelai mootinjatoo,வீட்டு வேலை முடிஞ்சது.
pus staant enka eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
railway sdhaadhion eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nanpa ebdee irruka,நண்பா எப்படி இருக்க?
poos sthaand yengaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raizhway sdadioon yeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
eenneeku weezhai eerruku,இன்னைக்கு வேலை இருக்கு.
poos staant yengaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veetzha yelaarum yeepti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yatteendancee wandhoocha,வருகைப்பதிவு வந்துச்சா?
rraailwaay sdhadhioon yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
roomba kavalaiya irugu,ரொம்ப கவலையா இருக்கு.
nambigai dhaan ellaam,நம்பிக்கை தான் எல்லாம்.
vazhkaeeyeezh weedhri beruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
vedhla yellarrum yepdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
soolren nazhzha ketooko,சொல்றேன் நல்லா கேட்டுக்கோ.
eeneeku weezhai eeruku,இன்னைக்கு வேலை இருக்கு.
dhaangaachi eenka pona,தங்கச்சி எங்க போன?
uyeer nala vaalum,உயிர் நல்லா வாழும்.
witla yelaarum yeepti eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
saari aappraam parrkalam,சரி அப்புறம் பார்க்கலாம்.
bus sdhand engaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
oorruku boriya,ஊருக்கு போறியா?
veethlaa yellarrum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vethla ezhzharoom yeptee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
soozhren nazhzha keedhuko,சொல்றேன் நல்லா கேட்டுக்கோ.
yapa yebboo waarraaaangaa,அப்பா எப்போ வர்றாங்க?
veetzha ezhzharoom yepdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
comment paanungaa maggale,கமெண்ட் பண்ணுங்க மக்களே.
rrombaa kavazhaiya irruku,ரொம்ப கவலையா இருக்கு.
veedu velaee muteenjatu,வீட்டு வேலை முடிஞ்சது.
treending videeo aatu,டிரெண்டிங் வீடியோ அது.
yenaagu purreeyala,எனக்கு புரியல.
offeese poeethu warren,அலுவலகம் போயிட்டு வர்றேன்.
banam wechirugiya,பணம் வச்சிருக்கியா?
unaku purriyudhaa,உனக்கு புரியுதா?
yaaggaavugu kaazhyaanaam,அக்காவுக்கு கல்யாணம்.
ennaa panra,என்ன பண்ற?
czhaass eppo yaaaaraambaam,வகுப்பு எப்போ ஆரம்பம்?
veeeetzha yellarrum eebdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vedhla ellarrum yeepti irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
uyeer nazhzha valum,உயிர் நல்லா வாழும்.
drendeeng wideeo adhoo,டிரெண்டிங் வீடியோ அது.
veethla yellarroom epti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway staation eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
viddookoo yeboo waarraa,வீட்டுக்கு எப்போ வர?
innigoo weezhai eerugu,இன்னைக்கு வேலை இருக்கு.
needhhu engaa bona,நேத்து எங்க போன?
yoffeece poidoo vaarrrren,அலுவலகம் போயிட்டு வர்றேன்.
